academic_year,sending_institution,receiving_institution,major,group,section,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Ecology, Evolution and Organismal Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ab961867-d682-4d21-cbc6-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"BIO 211, BIO 211L","BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution","['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']}], 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution'], 'must_take_together': False}]",,[],99844e3e-9198-466f-d111-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Ecology, Evolution and Organismal Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ab961867-d682-4d21-cbc6-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"BIO 210, BIO 210L","BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms","['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms']}], 'courses': ['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms'], 'must_take_together': False}]",,[],faf02b6c-5766-4d34-d112-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Ecology, Evolution and Organismal Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ab961867-d682-4d21-cbc6-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 111, CHEM 111L",CHEM 1B - General Chemistry II,['CHEM 1B - General Chemistry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 1B - General Chemistry II']}], 'courses': ['CHEM 1B - General Chemistry II'], 'must_take_together': False}]",,[],e7125905-5ccc-4328-d113-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Ecology, Evolution and Organismal Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ab961867-d682-4d21-cbc6-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 211, CHEM 211L",CHEM 12A - Organic Chemistry I,['CHEM 12A - Organic Chemistry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 12A - Organic Chemistry I']}], 'courses': ['CHEM 12A - Organic Chemistry I'], 'must_take_together': False}]",,[],3ed7a376-b4f3-4982-d115-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration",,,Series,"CHEM 212, CHEM 212L",CHEM 12B - Organic Chemistry II,['CHEM 12B - Organic Chemistry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 12B - Organic Chemistry II']}], 'courses': ['CHEM 12B - Organic Chemistry II'], 'must_take_together': False}]",,[],e1529fd6-6a30-4fa0-c736-08dd71753ab5
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,PHYS 220 - Physics I,(PHYS 2A - General Physics I) OR (PHYS 3A - Science and Engineering Physics I),"['PHYS 2A - General Physics I', 'PHYS 3A - Science and Engineering Physics I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 2A - General Physics I']}], 'courses': ['PHYS 2A - General Physics I'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3A - Science and Engineering Physics I']}], 'courses': ['PHYS 3A - Science and Engineering Physics I'], 'must_take_together': False}]",,[],a96df748-a0af-4695-bf06-08dd91949282
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],2edf7f89-7e03-482c-d1fe-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 211, CHEM 211L",CHEM 12A - Organic Chemistry I,['CHEM 12A - Organic Chemistry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 12A - Organic Chemistry I']}], 'courses': ['CHEM 12A - Organic Chemistry I'], 'must_take_together': False}]",,[],7b82d85c-7b85-4583-d1fb-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"BIO 210, BIO 210L","BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms","['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms']}], 'courses': ['BIOL 21 - Concepts in Biology I: Cells, Genetics, and Organisms'], 'must_take_together': False}]",,[],b78ae1ba-e70e-4678-d1fd-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"BIO 211, BIO 211L","BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution","['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']}], 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution'], 'must_take_together': False}]",,[],ea0a290c-9d2f-4211-d1ff-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 111, CHEM 111L",CHEM 1B - General Chemistry II,['CHEM 1B - General Chemistry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 1B - General Chemistry II']}], 'courses': ['CHEM 1B - General Chemistry II'], 'must_take_together': False}]",,[],b9ebb8af-71de-4c87-d200-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Biology B.S., Molecular Biology Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""c1b52d53-6ad1-4972-cbe0-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 110, CHEM 110L",CHEM 1A - General Chemistry I,['CHEM 1A - General Chemistry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 1A - General Chemistry I']}], 'courses': ['CHEM 1A - General Chemistry I'], 'must_take_together': False}]",,[],37d4cc29-6e9c-4f58-d201-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Ethnic and Gender Studies, B.A.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""6bc45ac0-510c-43ea-cbb8-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,HCOM 242 - Intro to Women's & Gender Studies,(((GWOS 1 - Introduction to Gender and Women's Studies) OR (SOCI 12 - Introduction to Gender and Sexuality)) OR (ANTH 30 - Gender in Global Perspective)) OR (GWOS 30 - Gender in Global Perspective),"[""GWOS 1 - Introduction to Gender and Women's Studies"", 'SOCI 12 - Introduction to Gender and Sexuality', 'ANTH 30 - Gender in Global Perspective', 'GWOS 30 - Gender in Global Perspective']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': [""GWOS 1 - Introduction to Gender and Women's Studies""]}], 'courses': [""GWOS 1 - Introduction to Gender and Women's Studies""], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 12 - Introduction to Gender and Sexuality']}], 'courses': ['SOCI 12 - Introduction to Gender and Sexuality'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['ANTH 30 - Gender in Global Perspective']}], 'courses': ['ANTH 30 - Gender in Global Perspective'], 'must_take_together': False}, {'option': 4, 'groups': [{'group_conjunction': 'AND', 'courses': ['GWOS 30 - Gender in Global Perspective']}], 'courses': ['GWOS 30 - Gender in Global Perspective'], 'must_take_together': False}]",,[],dd92c373-7137-453e-d089-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Ethnic and Gender Studies, B.A.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""6bc45ac0-510c-43ea-cbb8-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,HCOM 243 - Introduction to Ethnic Studies,No articulation (No Course Articulated),[],[],No Course Articulated,[],2317fb21-0710-42c9-d08a-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Ethnic and Gender Studies, B.A.",,,Course,HCOM 246 - Intro to Mexican American Studies,No articulation (No Course Articulated),[],[],No Course Articulated,[],399417c3-faf3-4117-86c9-08de00ff42ca
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 151 - Calculus II,MATH 20B - Calculus with Analytic Geometry II,['MATH 20B - Calculus with Analytic Geometry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20B - Calculus with Analytic Geometry II']}], 'courses': ['MATH 20B - Calculus with Analytic Geometry II'], 'must_take_together': False}]",,[],aaf1ca60-97d5-498c-d0ac-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],0924d000-a025-45ec-d0ae-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 231 - Problem Solving and Programming,((CSCI 10A - Programming Methods I: JAVA) OR (CSCI 10C - Programming Methods 1.5 - C and C++)) OR (CSCI 9 - Programming Fundamentals: Python),"['CSCI 10A - Programming Methods I: JAVA', 'CSCI 10C - Programming Methods 1.5 - C and C++', 'CSCI 9 - Programming Fundamentals: Python']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 10A - Programming Methods I: JAVA']}], 'courses': ['CSCI 10A - Programming Methods I: JAVA'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 10C - Programming Methods 1.5 - C and C++']}], 'courses': ['CSCI 10C - Programming Methods 1.5 - C and C++'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 9 - Programming Fundamentals: Python']}], 'courses': ['CSCI 9 - Programming Fundamentals: Python'], 'must_take_together': False}]",,[],f8909ad4-1074-449c-d0af-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 238 - Introduction to Data Structure,CSCI 10B - Programming Methods II: JAVA,['CSCI 10B - Programming Methods II: JAVA'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 10B - Programming Methods II: JAVA']}], 'courses': ['CSCI 10B - Programming Methods II: JAVA'], 'must_take_together': False}]",,[],76177a66-8815-4477-d0b0-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 237 - Introduction to Computer Architecture,CSCI 11 - Computer Architectures and Organization,['CSCI 11 - Computer Architectures and Organization'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 11 - Computer Architectures and Organization']}], 'courses': ['CSCI 11 - Computer Architectures and Organization'], 'must_take_together': False}]",,[],8e3fd9ec-ff82-498f-d0b1-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Computer Science B.S., Software Engineering Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""297f90c6-302a-44b9-cbbc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 170 - Discrete Mathematics,(MATH 40 - Discrete Mathematics) OR (CSCI 12 - Discrete Structures),"['MATH 40 - Discrete Mathematics', 'CSCI 12 - Discrete Structures']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 40 - Discrete Mathematics']}], 'courses': ['MATH 40 - Discrete Mathematics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 12 - Discrete Structures']}], 'courses': ['CSCI 12 - Discrete Structures'], 'must_take_together': False}]",,[],ad191f5a-b441-4415-d0b2-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,AGPS 216 - Plant Propagation & Production,HORT 63 - Plant Propagation,['HORT 63 - Plant Propagation'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 63 - Plant Propagation']}], 'courses': ['HORT 63 - Plant Propagation'], 'must_take_together': False}]",,[],2db0944b-aec9-40aa-d118-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,AGPS 182 - Plant Materials & Usage- Fall,"HORT 62 - Plant Identification: Trees, Annuals, and Perennials","['HORT 62 - Plant Identification: Trees, Annuals, and Perennials']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 62 - Plant Identification: Trees, Annuals, and Perennials']}], 'courses': ['HORT 62 - Plant Identification: Trees, Annuals, and Perennials'], 'must_take_together': False}]",,[],e2ed9acd-cc3d-4182-d11a-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,AGPS 181 - Plant Materials & Usage- Spring,"HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers","['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers']}], 'courses': ['HORT 61 - Plant Identification: Shrubs, Vines, and Ground Covers'], 'must_take_together': False}]",,[],241678f3-d8b7-4959-d11b-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 202 - Micro Economics,ECON 4 - Principles of Economics: Micro,['ECON 4 - Principles of Economics: Micro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 4 - Principles of Economics: Micro']}], 'courses': ['ECON 4 - Principles of Economics: Micro'], 'must_take_together': False}]",,[],8ba095a8-9352-4d64-d11f-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,STAT 100 - Introduction to Statistics,((STAT C1000 - Introduction to Statistics) OR (PSYC 19 - Introduction to Statistics for the Social Sciences)) OR (SOCI 19 - Introduction to Statistics for the Social Sciences),"['STAT C1000 - Introduction to Statistics', 'PSYC 19 - Introduction to Statistics for the Social Sciences', 'SOCI 19 - Introduction to Statistics for the Social Sciences']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['STAT C1000 - Introduction to Statistics']}], 'courses': ['STAT C1000 - Introduction to Statistics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}]",,[],e552e006-0ff7-423e-d120-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,AGPS 128 - Intro to Soil Science,HORT 53 - Soil Science and Management,['HORT 53 - Soil Science and Management'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HORT 53 - Soil Science and Management']}], 'courses': ['HORT 53 - Soil Science and Management'], 'must_take_together': False}]",,[],46a2f59f-ea1b-4cf4-d121-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CHEM 109 - Introductory Chemistry,(CHEM 2 - Fundamental Chemistry) OR (CHEM 10 - Everyday Chemistry),"['CHEM 2 - Fundamental Chemistry', 'CHEM 10 - Everyday Chemistry']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 2 - Fundamental Chemistry']}], 'courses': ['CHEM 2 - Fundamental Chemistry'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 10 - Everyday Chemistry']}], 'courses': ['CHEM 10 - Everyday Chemistry'], 'must_take_together': False}]",,[],a4ee863a-b61f-4628-d12d-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 211, CHEM 211L",CHEM 12A - Organic Chemistry I,['CHEM 12A - Organic Chemistry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 12A - Organic Chemistry I']}], 'courses': ['CHEM 12A - Organic Chemistry I'], 'must_take_together': False}]",,[],0e3a1192-add4-4fda-d119-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 110, CHEM 110L",CHEM 1A - General Chemistry I,['CHEM 1A - General Chemistry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 1A - General Chemistry I']}], 'courses': ['CHEM 1A - General Chemistry I'], 'must_take_together': False}]",,[],28862560-0bf7-4c75-d124-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CHEM 111, CHEM 111L",CHEM 1B - General Chemistry II,['CHEM 1B - General Chemistry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CHEM 1B - General Chemistry II']}], 'courses': ['CHEM 1B - General Chemistry II'], 'must_take_together': False}]",,[],c2b63ca4-2e08-484e-d128-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Agricultural Plant and Soil Sciences, B.S.","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""a3bb7865-5fba-4bf6-cbc7-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"BIO 211, BIO 211L","BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution","['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution']}], 'courses': ['BIOL 22 - Concepts in Biology II: Diversity, Ecology, and Evolution'], 'must_take_together': False}]",,[],8f26f01c-be2d-4301-2fca-08dde9df8815
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MSCI 270 - Intro to Oceanography,OCEN 2 - Introductory Oceanography,['OCEN 2 - Introductory Oceanography'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['OCEN 2 - Introductory Oceanography']}], 'courses': ['OCEN 2 - Introductory Oceanography'], 'must_take_together': False}]",,[],c6543cf9-dd58-443b-d170-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],6302ef74-feca-423d-d172-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,PHYS 220 - Physics I,(PHYS 2A - General Physics I) OR (PHYS 3A - Science and Engineering Physics I),"['PHYS 2A - General Physics I', 'PHYS 3A - Science and Engineering Physics I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 2A - General Physics I']}], 'courses': ['PHYS 2A - General Physics I'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3A - Science and Engineering Physics I']}], 'courses': ['PHYS 3A - Science and Engineering Physics I'], 'must_take_together': False}]",,[],8aa71ba9-bd0a-411c-d176-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 202 - Micro Economics,ECON 4 - Principles of Economics: Micro,['ECON 4 - Principles of Economics: Micro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 4 - Principles of Economics: Micro']}], 'courses': ['ECON 4 - Principles of Economics: Micro'], 'must_take_together': False}]",,[],c7f59c28-952d-42a2-d177-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,ENSTU 280 - Environmental Economics & Policy,ECON 4 - Principles of Economics: Micro,['ECON 4 - Principles of Economics: Micro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 4 - Principles of Economics: Micro']}], 'courses': ['ECON 4 - Principles of Economics: Micro'], 'must_take_together': False}]",,[],8b77dfda-f87d-4cff-d178-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""21b8ea6c-e097-4596-cbd1-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 201 - Macro Economics,ECON 2 - Principles of Economics: Macro,['ECON 2 - Principles of Economics: Macro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 2 - Principles of Economics: Macro']}], 'courses': ['ECON 2 - Principles of Economics: Macro'], 'must_take_together': False}]",,[],ecd68f06-252a-4a52-d179-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Marine Science B.S.,,,Course,MATH 151 - Calculus II,MATH 20B - Calculus with Analytic Geometry II,['MATH 20B - Calculus with Analytic Geometry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20B - Calculus with Analytic Geometry II']}], 'courses': ['MATH 20B - Calculus with Analytic Geometry II'], 'must_take_together': False}]",,[],f50abc89-67b0-42cc-d17b-08dd6d829ad0
