academic_year,sending_institution,receiving_institution,major,group,section,category,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 143 - Volleyball: All Levels,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 144 - Basketball: All Levels,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 145 - Softball: All Levels,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 148 - Running: All Levels,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 149 - Surfing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 159 - The Science of Being Well,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 161 - Health and Well Being,HLTH 4 - Personal Health and Wellness,['HLTH 4 - Personal Health and Wellness'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HLTH 4 - Personal Health and Wellness']}], 'courses': ['HLTH 4 - Personal Health and Wellness'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 163 - Principles of Stress Management,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 180 - Backpacking and Hiking,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 180L - Backpacking and Hiking Laboratory,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 200 - Intercollegiate Athletics,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 201 - Medical Terminology,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 202 - Women and Gender in Sports,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 254 - Kayaking,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 254L - Kayaking Laboratory,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 263 - Introduction to Human Sexuality,PSYC 40 - Human Sexuality,['PSYC 40 - Human Sexuality'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 40 - Human Sexuality']}], 'courses': ['PSYC 40 - Human Sexuality'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 281 - Rock Climbing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",LS Liberal Studies,,,LS Liberal Studies,Course,LS 120 - Reading & Writing in Digital World,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",LS Liberal Studies,,,LS Liberal Studies,Course,LS 233 - Arts in the School and Community,ARTB 10 - Survey of the Arts,['ARTB 10 - Survey of the Arts'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTB 10 - Survey of the Arts']}], 'courses': ['ARTB 10 - Survey of the Arts'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",LS Liberal Studies,,,LS Liberal Studies,Course,LS 242S - Service Learning in Public Schools,EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education,['EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education']}], 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 100 - Quantitative Literacy,MATH 12 - Number Systems,['MATH 12 - Number Systems'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 12 - Number Systems']}], 'courses': ['MATH 12 - Number Systems'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 115 - Finite Mathematics,(MATH 17 - Finite Mathematics) OR (MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business),"['MATH 17 - Finite Mathematics', 'MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 17 - Finite Mathematics']}], 'courses': ['MATH 17 - Finite Mathematics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business']}], 'courses': ['MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 130 - Precalculus,MATH 13 - Pre-Calculus,['MATH 13 - Pre-Calculus'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 13 - Pre-Calculus']}], 'courses': ['MATH 13 - Pre-Calculus'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 151 - Calculus II,MATH 20B - Calculus with Analytic Geometry II,['MATH 20B - Calculus with Analytic Geometry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20B - Calculus with Analytic Geometry II']}], 'courses': ['MATH 20B - Calculus with Analytic Geometry II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 170 - Discrete Mathematics,(MATH 40 - Discrete Mathematics) OR (CSCI 12 - Discrete Structures),"['MATH 40 - Discrete Mathematics', 'CSCI 12 - Discrete Structures']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 40 - Discrete Mathematics']}], 'courses': ['MATH 40 - Discrete Mathematics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 12 - Discrete Structures']}], 'courses': ['CSCI 12 - Discrete Structures'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 230 - Elementary Linear Algebra,MATH 31 - Linear Algebra,['MATH 31 - Linear Algebra'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 31 - Linear Algebra']}], 'courses': ['MATH 31 - Linear Algebra'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 240 - Elementary Differential Equations,MATH 32 - Differential Equations,['MATH 32 - Differential Equations'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 32 - Differential Equations']}], 'courses': ['MATH 32 - Differential Equations'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 250 - Multivariate Calculus,MATH 20C - Calculus of Several Variables,['MATH 20C - Calculus of Several Variables'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20C - Calculus of Several Variables']}], 'courses': ['MATH 20C - Calculus of Several Variables'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 265 - Differential Equations and Linear Algebra,MATH 32 - Differential Equations AND MATH 31 - Linear Algebra,['MATH 32 - Differential Equations AND MATH 31 - Linear Algebra'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 32 - Differential Equations', 'MATH 31 - Linear Algebra']}], 'courses': ['MATH 32 - Differential Equations', 'MATH 31 - Linear Algebra'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MATH Mathematics,,,MATH Mathematics,Course,MATH 270 - Mathematics for Computing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 108 - Introduction to Music Production,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 110 - Keyboard I,MUSI 50A - Piano I,['MUSI 50A - Piano I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 50A - Piano I']}], 'courses': ['MUSI 50A - Piano I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 114 - Introduction to Music Business,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 208 - Music of the Beatles,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 209 - African Drumming,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 210 - Keyboard II,MUSI 50B - Piano II,['MUSI 50B - Piano II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 50B - Piano II']}], 'courses': ['MUSI 50B - Piano II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 216 - Stage Design & Technology,((THEA 19 - Stagecraft) OR (THEA 20 - Introduction to Theatre Design)) OR (THEA 21A - Theatre Workshop I),"['THEA 19 - Stagecraft', 'THEA 20 - Introduction to Theatre Design', 'THEA 21A - Theatre Workshop I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['THEA 19 - Stagecraft']}], 'courses': ['THEA 19 - Stagecraft'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['THEA 20 - Introduction to Theatre Design']}], 'courses': ['THEA 20 - Introduction to Theatre Design'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['THEA 21A - Theatre Workshop I']}], 'courses': ['THEA 21A - Theatre Workshop I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 220 - Gregorian Chants to Hip-Hop,MUSI 1 - Music Appreciation,['MUSI 1 - Music Appreciation'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 1 - Music Appreciation']}], 'courses': ['MUSI 1 - Music Appreciation'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 225 - Ballet Folklorico,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 229 - African Dancing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 233 - Expressive Arts,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 239 - Contemporary Musical Theatre,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 241 - Introduction to Theatre,THEA 1 - Introduction to Theatre,['THEA 1 - Introduction to Theatre'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['THEA 1 - Introduction to Theatre']}], 'courses': ['THEA 1 - Introduction to Theatre'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Course,MPA 261 - String Ensemble,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Series,"MPA 102, MPA 106",MUSI 10C - Music Theory and Musicianship III,['MUSI 10C - Music Theory and Musicianship III'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 10C - Music Theory and Musicianship III']}], 'courses': ['MUSI 10C - Music Theory and Musicianship III'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Series,"MPA 100, MPA 104",MUSI 10A - Music Theory and Musicianship I,['MUSI 10A - Music Theory and Musicianship I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 10A - Music Theory and Musicianship I']}], 'courses': ['MUSI 10A - Music Theory and Musicianship I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Series,"MPA 103, MPA 107",MUSI 10D - Music Theory and Musicianship IV,['MUSI 10D - Music Theory and Musicianship IV'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 10D - Music Theory and Musicianship IV']}], 'courses': ['MUSI 10D - Music Theory and Musicianship IV'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MPA Music and Performing Arts,,,MPA Music and Performing Arts,Series,"MPA 101, MPA 105",MUSI 10B - Music Theory and Musicianship II,['MUSI 10B - Music Theory and Musicianship II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MUSI 10B - Music Theory and Musicianship II']}], 'courses': ['MUSI 10B - Music Theory and Musicianship II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MSCI Marine Science,,,MSCI Marine Science,Course,MSCI 185 - Adventures in Marine Science,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MSCI Marine Science,,,MSCI Marine Science,Course,MSCI 270 - Intro to Oceanography,OCEN 2 - Introductory Oceanography,['OCEN 2 - Introductory Oceanography'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['OCEN 2 - Introductory Oceanography']}], 'courses': ['OCEN 2 - Introductory Oceanography'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MSCI Marine Science,,,MSCI Marine Science,Course,MSCI 280 - SCUBA I: Entry Level SCUBA,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MSCI Marine Science,,,MSCI Marine Science,Course,MSCI 282 - SCUBA II: Emergency Management & Advanced SCUBA,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",MSCI Marine Science,,,MSCI Marine Science,Course,MSCI 283 - SCUBA III: Occupational Diving Techniques,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PANM Public Administration & Nonprofit Management,,,PANM Public Administration & Nonprofit Management,Course,PANM 202 - Introduction to Public Administration and Nonprofit Management,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PH Public Health,,,PH Public Health,Course,PH 207 - Introduction to Public Health,HLTH 1 - Introduction to Public Health,['HLTH 1 - Introduction to Public Health'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HLTH 1 - Introduction to Public Health']}], 'courses': ['HLTH 1 - Introduction to Public Health'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 121 - Integrated Physical Science,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 121L - Integrated Physical Science Laboratory,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 205 - Physics for Engineeers I,PHYS 3A - Science and Engineering Physics I,['PHYS 3A - Science and Engineering Physics I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3A - Science and Engineering Physics I']}], 'courses': ['PHYS 3A - Science and Engineering Physics I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 210 - Physics for Engineers II,PHYS 3B - Science and Engineering Physics II,['PHYS 3B - Science and Engineering Physics II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3B - Science and Engineering Physics II']}], 'courses': ['PHYS 3B - Science and Engineering Physics II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 220 - Physics I,(PHYS 2A - General Physics I) OR (PHYS 3A - Science and Engineering Physics I),"['PHYS 2A - General Physics I', 'PHYS 3A - Science and Engineering Physics I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 2A - General Physics I']}], 'courses': ['PHYS 2A - General Physics I'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3A - Science and Engineering Physics I']}], 'courses': ['PHYS 3A - Science and Engineering Physics I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Course,PHYS 221 - Physics II,(PHYS 2B - General Physics II) OR (PHYS 3B - Science and Engineering Physics II AND PHYS 3C - Science and Engineering Physics III),"['PHYS 2B - General Physics II', 'PHYS 3B - Science and Engineering Physics II AND PHYS 3C - Science and Engineering Physics III']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 2B - General Physics II']}], 'courses': ['PHYS 2B - General Physics II'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3B - Science and Engineering Physics II', 'PHYS 3C - Science and Engineering Physics III']}], 'courses': ['PHYS 3B - Science and Engineering Physics II', 'PHYS 3C - Science and Engineering Physics III'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Series,"PHYS 205, PHYS 210",PHYS 3A - Science and Engineering Physics I AND PHYS 3B - Science and Engineering Physics II AND PHYS 3C - Science and Engineering Physics III,['PHYS 3A - Science and Engineering Physics I AND PHYS 3B - Science and Engineering Physics II AND PHYS 3C - Science and Engineering Physics III'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 3A - Science and Engineering Physics I', 'PHYS 3B - Science and Engineering Physics II', 'PHYS 3C - Science and Engineering Physics III']}], 'courses': ['PHYS 3A - Science and Engineering Physics I', 'PHYS 3B - Science and Engineering Physics II', 'PHYS 3C - Science and Engineering Physics III'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PHYS Physics,,,PHYS Physics,Series,"PHYS 121, PHYS 121L",PHYS 12 - Integrated Physics and Chemistry,['PHYS 12 - Integrated Physics and Chemistry'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 12 - Integrated Physics and Chemistry']}], 'courses': ['PHYS 12 - Integrated Physics and Chemistry'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PSY Psychology,,,PSY Psychology,Course,PSY 100 - Introduction to Psychology,PSYC C1000 - Introduction to Psychology,['PSYC C1000 - Introduction to Psychology'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC C1000 - Introduction to Psychology']}], 'courses': ['PSYC C1000 - Introduction to Psychology'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PSY Psychology,,,PSY Psychology,Course,PSY 100L - Introduction to Psychology Laboratory,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PSY Psychology,,,PSY Psychology,Course,PSY 200 - Introduction Research/Method/Data/Analysis,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PSY Psychology,,,PSY Psychology,Course,PSY 200L - Research Methods Laboratory,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",PSY Psychology,,,PSY Psychology,Series,"PSY 200, PSY 200L",PSYC 10 - Introduction to Research Methods in Psychology With Lab,['PSYC 10 - Introduction to Research Methods in Psychology With Lab'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 10 - Introduction to Research Methods in Psychology With Lab']}], 'courses': ['PSYC 10 - Introduction to Research Methods in Psychology With Lab'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SOC Sociology,,,SOC Sociology,Course,SOC 100 - Introduction to Sociology,SOCI 1 - Introduction to Sociology,['SOCI 1 - Introduction to Sociology'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 1 - Introduction to Sociology']}], 'courses': ['SOCI 1 - Introduction to Sociology'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SOC Sociology,,,SOC Sociology,Course,SOC 120 - Thinking Sociologically,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SOC Sociology,,,SOC Sociology,Course,SOC 201 - Social Problems,SOCI 2 - Contemporary Social Problems,['SOCI 2 - Contemporary Social Problems'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 2 - Contemporary Social Problems']}], 'courses': ['SOCI 2 - Contemporary Social Problems'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 101 - Beginning Spanish I,(SPAN 1 - Elementary Spanish I) OR (SPAN 1S - Elementary Spanish for Spanish Speakers I),"['SPAN 1 - Elementary Spanish I', 'SPAN 1S - Elementary Spanish for Spanish Speakers I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 1 - Elementary Spanish I']}], 'courses': ['SPAN 1 - Elementary Spanish I'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 1S - Elementary Spanish for Spanish Speakers I']}], 'courses': ['SPAN 1S - Elementary Spanish for Spanish Speakers I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 102 - Beginning Spanish II,SPAN 2 - Elementary Spanish II,['SPAN 2 - Elementary Spanish II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 2 - Elementary Spanish II']}], 'courses': ['SPAN 2 - Elementary Spanish II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 103 - Intensive Beginning Spanish I and II,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 200 - Beginning Spanish Conversation,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 201 - Intermediate Spanish I,SPAN 3 - Intermediate Spanish I,['SPAN 3 - Intermediate Spanish I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 3 - Intermediate Spanish I']}], 'courses': ['SPAN 3 - Intermediate Spanish I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 202 - Intermediate Spanish II,(SPAN 4 - Intermediate Spanish II) OR (SPAN 4S - Intermediate Spanish for Spanish Speakers II),"['SPAN 4 - Intermediate Spanish II', 'SPAN 4S - Intermediate Spanish for Spanish Speakers II']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 4 - Intermediate Spanish II']}], 'courses': ['SPAN 4 - Intermediate Spanish II'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 4S - Intermediate Spanish for Spanish Speakers II']}], 'courses': ['SPAN 4S - Intermediate Spanish for Spanish Speakers II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 212 - Spanish for Spanish Speakers,(SPAN 2S - Elementary Spanish for Spanish Speakers II) OR (SPAN 3S - Intermediate Spanish for Spanish Speakers I),"['SPAN 2S - Elementary Spanish for Spanish Speakers II', 'SPAN 3S - Intermediate Spanish for Spanish Speakers I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 2S - Elementary Spanish for Spanish Speakers II']}], 'courses': ['SPAN 2S - Elementary Spanish for Spanish Speakers II'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPAN 3S - Intermediate Spanish for Spanish Speakers I']}], 'courses': ['SPAN 3S - Intermediate Spanish for Spanish Speakers I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 260 - Contemporary Chicano Literature: Survey,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SPAN Spanish,,,SPAN Spanish,Course,SPAN 262 - Latin American Literature in Translation,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 100 - Human Biocultural Evolution,ANTH 2 - Introduction to Biological Anthropology,['ANTH 2 - Introduction to Biological Anthropology'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ANTH 2 - Introduction to Biological Anthropology']}], 'courses': ['ANTH 2 - Introduction to Biological Anthropology'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",SSCI Social Sciences,,,SSCI Social Sciences,Course,SSCI 101 - Introduction to Anthropology,,[],[],,[],
